dir_id,inventory_number,name,has_tif,has_tfw,has_georef
001088,T.D-08.02,Jaskinia nad Mostkiem Niżnia,True,False,False
001089,T.D-08.03,Jaskinia nad Mostkiem Wyżnia,True,False,False
001090,T.D-08.26,Wielka Nyża,True,False,False
001091,T.D-08.04,Korytarz do Naciekowej,True,False,False
001092,T.D-08.05,Jaskinia Goryckiego,True,False,False
001093,T.D-08.06,Jaskinia między Żleby,True,False,False
001094,T.D-08.07,Jaskinia Mroźna,True,False,False
001095,T.D-08.08,Jaskinia Zimna,True,False,False
001096,T.D-08.09,Okna Zbójnickie Niżnie,True,False,False
001097,T.D-05.02,Schronisko przy Ścianach,True,False,False
001098,T.D-08.10,Okno Zbójnickie Wyżnie,True,False,False
001099,T.D-05.03,Schron w Wyżniej Bramie Chochołowskiej,True,False,False
001100,T.D-08.11,Przelot,True,False,False
001101,T.D-08.12,Dziura pod Oknem,True,False,False
001102,T.D-08.13,Jaskinia Balkonowa,True,False,False
001103,T.D-08.14,Jaskinia Naciekowa,True,False,False
001104,T.D-08.15,Jaskinia pod Ostrewką,True,False,False
001105,T.D-05.05,Nyża w Wąwozie Między Ściany,True,False,False
001106,T.D-08.16,Zbójnicka Nyża,True,False,False
001107,T.D-08.17,Jaskinia Trójotworowa,True,False,False
001108,T.D-08.18,Jaskinia Krwawego Nosa,True,False,False
001109,T.D-08.19,Szczelina nad Zimną,True,False,False
001110,T.D-08.20,Schron pod Jaskinią Goryckiego,True,False,False
001111,T.D-08.21,Lejek,True,False,False
001112,T.D-08.22,Szczelina nad Mostkiem,True,False,False
001113,T.D-08.23,Dziura w Stołach,True,False,False
001114,T.D-08.24,Wielka Szczelina,True,False,False
001115,T.D-08.25,Jaskinia Zawaliskowa w Stołach,True,False,False
001116,T.D-08.27,Otwarty Schron,True,False,False
001117,T.D-08.28,Korytarz z Różą,True,False,False
001118,T.D-08.29,Dziura pod Kazalnicą,True,False,False
001119,T.D-08.30,Schron pod Kazalnicą,True,False,False
001120,T.D-08.31,Dziura w Organach VII,True,False,False
001121,T.D-08.32,Schron przed Sową I,True,False,False
001122,T.D-08.33,Schron przed Sową II,True,False,False
001123,T.D-08.34,Schron przed Sową III,True,False,False
001124,T.D-08.35,Kopalnia Maturka,True,False,False
001125,T.D-08.36,Szczelina przy Dziurawcu,True,False,False
001126,T.D-08.37,Dziura nad Wapiennikiem,True,False,False
001127,T.D-08.38,Zimna Szczelina I,True,False,False
001128,T.D-08.39,Zimna Szczelina II,True,False,False
001129,T.D-08.40,Zimna Szczelina III,True,False,False
001132,T.D-08.43,Sowia Jama II,True,False,False
001133,T.D-08.44,Sowia Jama III,True,False,False
001134,T.D-08.41,Wiciowy Schron,True,False,False
001135,T.D-08.46,Szczelina za Okrętem I,True,False,False
001136,T.D-08.45,Dziurawa Koleba,True,False,False
001137,T.D-08.47,Szczelina za Okrętem II,True,False,False
001138,T.D-08.48,Szczelina za Okrętem III,True,False,False
001139,T.D-08.49,Nisza z Jaworem,True,False,False
001140,T.D-08.50,Komora w Okręcie,True,False,False
001141,T.D-08.51,Szczelina pod Tunelem Pawlikowskiego,True,False,False
001142,T.D-05.04,Szczelina w Osmętnicy,True,False,False
001160,T.D-08.52,Schron ze Świeczką,True,False,False
001161,T.D-08.53,Wąska Szczelina,True,False,False
001162,T.D-08.54,Schron przy Naciekowej,True,False,False
001163,T.D-08.55,Dziura w Organach VI,True,False,False
001164,T.D-08.56,Jaskinia pod Murem,True,False,False
001166,T.D-08.58,Zamczysko Niżnie,True,False,False
001167,T.D-08.59,Zamczysko Wyżnie,True,False,False
001168,T.D-08.60,Okno w Zamczysku,True,False,False
001169,T.D-08.61,Nyża z Dzięglem,True,False,False
001170,T.D-05.06,Schronisko w Kalwarii,True,False,False
001171,T.D-08.62,Szczelina z Mostkiem,True,False,False
001172,T.D-09.01,Jaskinia Zakopiańska,True,False,False
001173,T.D-09.02,Jaskinia przy Sikawce,True,False,False
001174,T.D-09.05,Żwirowa Dziura Wyżnia,True,False,False
001175,T.D-09.06,Żwirowa Dziura Niżnia,True,False,False
001176,T.D-05.07,Szczelina w Dudzińcu,True,False,False
001177,T.D-05.08,Schronisko przy Jaskini w Dudzińcu,True,False,False
001178,T.D-09.10,Dziura w Organach II,True,False,False
001179,T.D-09.07,Schron pomiędzy Żwirowymi Dziurami,True,False,False
001180,T.D-05.09,Jaskinia w Dudzińcu,True,False,False
001181,T.D-09.08,Dziura w Organach IV,True,False,False
001182,T.D-05.10,Szczelina nad Jaskinią w Dudzińcu,True,False,False
001184,T.D-09.11,Dziura w Organach I,True,False,False
001185,T.D-09.12,Dziura w Organach V,True,False,False
001187,T.D-10.01,Jaskinia Miętusia Wyżnia,True,False,False
001189,T.D-10.03,Jaskinia Niedźwiedzia Niżnia,True,False,False
001190,T.D-10.04,Jaskinia Niedźwiedzia Średnia,True,False,False
001191,T.D-10.05,Jaskinia w Małej Świstówce,True,False,False
001192,T.D-10.06,Dziura nad Wantulami I,True,False,False
001193,T.D-10.07,Dziura nad Wantulami II,True,False,False
001194,T.D-10.08,Dziura nad Wantulami III,True,False,False
001195,T.D-10.09,Podwójna Szczelina,True,False,False
001196,T.D-10.10,Szczelina w Wołowym Żlebie,True,False,False
001198,T.D-11.02,Nyża przy Schodkach,True,False,False
001199,T.D-11.03,Szczelina w Niedźwiedziu,True,False,False
001200,T.D-13.01,Kozia Grota,True,False,False
