dir_id,inventory_number,name,n_submissions,lat,lon,pixels_per_meter,north_angle_deg,ppm_cv,entrance_std_px,flag,has_tif,has_tfw,has_georef
001034,T.B-24.02,Filipczańska Szczelina,5,49.27325,20.080056,76.97,-0.082,0.003,0.28,,True,False,False
001035,T.B-24.03,Grota Filipczańska Wyżnia,5,49.273861,20.077583,77.11,0.0,0.001,0.51,,True,False,False
001036,T.B-24.04,Jaskinia Filipczańska Niżnia,5,49.273917,20.077139,38.53,0.0,0.004,0.48,,True,False,False
001037,T.C-05.01,Schronisko w Międzyścianach I,5,49.253106,19.819842,195.94,-0.002,0.005,1.46,,True,False,False
001038,T.C-05.02,Schronisko w Międzyścianach II,5,49.252939,19.820217,195.82,0.0,0.001,1.46,,True,False,False
001039,T.C-05.03,Schronisko w Międzyścianach III,5,49.252894,19.820411,77.35,0.0,0.004,1.16,,True,False,False
001040,T.C-05.04,Schron w Skale Kmietowicza I,5,49.257206,19.815403,118.19,0.022,0.002,0.55,,True,False,False
001041,T.C-05.05,Schron w Skale Kmietowicza II,5,49.235125,19.820269,117.96,-0.014,0.003,0.92,,True,False,False
001042,T.C-05.06,Wojtkowa Szpara,5,49.257625,19.815228,97.55,0.0,0.031,2.23,,True,False,False
001043,T.E-08.66,Schron pod Zbójnicką Turnią,5,49.237869,19.867531,59.31,-0.035,0.001,0.63,,True,False,False
001044,T.C-08.01,Jaskinia w Małym Krakowie,5,49.254408,19.867911,195.91,0.001,0.002,1.55,,True,False,False
001045,T.C-09.01,Tatowa Szczelina,5,49.254847,19.871014,76.9,0.007,0.009,0.51,,True,False,False
001046,T.C-13.02,Dziura nad Doliną Strążyską,5,49.254681,19.934631,98.22,0.0,0.006,0.76,,True,False,False
001047,T.C-13.03,Nyża Giewontowa,5,49.254589,19.9355,195.9,0.0,0.001,0.5,,True,False,False
001050,T.C-13.04,Kominek Giewontowy,5,49.254592,19.935678,196.42,0.0,0.005,1.39,,True,False,False
001051,T.C-13.05,Mała Dziura Giewontowa,5,49.254506,19.932658,196.77,-0.0,0.004,1.39,,True,False,False
001052,T.C-15.01,Dziura za Głazami,5,49.254931,19.962278,38.46,0.009,0.001,0.47,,True,False,False
001053,T.C-15.02,Płaska Nyża,5,49.255122,19.962383,76.76,-0.048,0.004,0.24,,True,False,False
001054,T.C-15.03,Szczelina w Suchym Żlebie,5,49.254733,19.962283,76.86,0.0,0.004,0.81,,True,False,False
001055,T.C-15.04,Nyża z Mostem,5,49.254528,19.962328,77.32,0.021,0.002,0.65,,True,False,False
001056,T.C-15.05,Kalacki Tunelik,5,49.254722,19.964136,76.41,-0.074,0.005,0.47,,True,False,False
001057,T.C-15.06,Mokra Koleba,5,49.254617,19.964317,76.88,-0.001,0.001,0.33,,True,False,False
001058,T.C-15.07,Frapująca Nyża,5,49.255069,19.964611,77.18,-0.006,0.001,0.64,,True,False,False
001059,T.C-15.08,Szczelina pod Frapującą Nyżą,5,49.255069,19.964611,77.69,0.0,0.004,0.54,,True,False,False
001060,T.C-15.09,Kalacka Nyża I,5,49.256014,19.964592,77.08,-0.018,0.005,0.41,,True,False,False
001061,T.C-15.10,Kalacka Szczelina,5,49.254522,19.963797,77.0,0.0,0.001,0.74,,True,False,False
001062,T.C-15.11,Kalacka Nyża II,5,49.255608,19.964531,38.49,0.056,0.001,0.51,,True,False,False
001063,T.C-16.01,Jaskinia Kalacka,5,49.256297,19.966847,19.29,0.0,0.0,0.51,,True,False,False
001064,T.C-16.02,Korytarzyk przy Kalackiej,5,49.256314,19.966806,77.25,-0.13,0.003,0.77,,True,False,False
001065,T.C-16.03,Korytarzyk nad Kalacką,5,49.256361,19.966567,77.4,0.0,0.004,0.72,,True,False,False
001066,T.C-18.01,Nyża nad Olczyską I,5,49.263889,20.004444,196.67,0.105,0.002,7.48,,True,False,False
001067,T.D-04.01,Zbójecka Dziura,5,49.247769,19.811731,97.6,0.0,0.003,1.15,,True,False,False
001068,T.D-04.02,Szczelina Chochołowska,5,49.245944,19.811983,15.74,0.0,0.0,0.64,,True,False,False
001069,T.D-04.03,Kamienne Mleko,5,49.2453,19.81105,59.07,-0.001,0.001,0.69,,True,False,False
001070,T.D-04.04,Jaskinia Mała,5,49.245619,19.811586,196.13,0.007,0.001,1.3,,True,False,False
001071,T.D-17.04,Jaskinia pod Szczytem,5,49.251642,19.983514,38.48,-0.001,0.002,0.41,,True,False,False
001072,T.D-17.03,Jaskinia Korytarzowa,5,49.252417,19.982861,77.03,0.001,0.0,0.3,,True,False,False
001073,T.D-04.06,Piwnica,5,49.245511,19.811425,196.99,0.134,0.001,1.57,,True,False,False
001074,T.D-04.07,Schron przy Szczelinie,5,49.244822,19.810864,196.39,0.004,0.001,1.43,,True,False,False
001075,T.D-06.05,Schronisko Dudowe,5,49.244878,19.833044,195.54,-0.002,0.004,0.65,,True,False,False
001076,T.D-06.06,Dudowy Schron,5,49.244936,19.8327,196.97,0.0,0.003,1.55,,True,False,False
001077,T.D-06.07,Szczelina Zawaliskowa nad Kufą,5,49.245961,19.838786,76.96,0.0,0.001,0.53,,True,False,False
001078,T.D-06.08,Jaskinia Lodowa nad Kufą,5,49.244389,19.838961,38.4,0.044,0.0,0.49,,True,False,False
001079,T.D-06.09,Szczelina przy Lodowej nad Kufą,5,49.244167,19.839172,76.84,-0.003,0.004,0.32,,True,False,False
001080,T.D-06.10,Schron w Opalonem I,5,49.249153,19.833589,76.76,0.004,0.006,0.52,,True,False,False
001081,T.D-06.11,Schron w Opalonem II,5,49.248989,19.836917,77.11,0.0,0.005,0.61,,True,False,False
001082,T.D-06.12,Schron pod Kufą Zachodni,5,49.2451,19.838258,77.26,0.009,0.0,0.6,,True,False,False
001083,T.D-06.13,Szczelina przed Kufą,5,49.246092,19.838508,76.96,-0.132,0.004,0.48,,True,False,False
001084,T.D-06.14,Schron Wschodni pod Kufą,5,49.245969,19.839583,77.19,0.016,0.002,0.25,,True,False,False
001085,T.D-06.15,Nisza przy Szemrzącym Schronie I,5,49.245036,19.840731,38.59,-0.029,0.0,0.45,,True,False,False
001086,T.D-06.16,Nisza przy Szemrzącym Schronie II,5,49.245039,19.840939,77.14,0.004,0.007,0.52,,True,False,False
001087,T.D-08.01,Dziurawiec,5,49.253167,19.865294,98.13,0.008,0.003,0.92,,True,False,False
001088,T.D-08.02,Jaskinia nad Mostkiem Niżnia,5,49.250958,19.863875,38.67,0.004,0.001,0.46,,True,False,False
001089,T.D-08.03,Jaskinia nad Mostkiem Wyżnia,5,49.251036,19.862678,38.81,-0.0,0.002,0.49,,True,False,False
001090,T.D-08.26,Wielka Nyża,5,49.246672,19.859689,97.89,-0.066,0.001,0.75,,True,False,False
001091,T.D-08.04,Korytarz do Naciekowej,5,49.249706,19.867461,130.09,-0.007,0.004,1.51,,True,False,False
001092,T.D-08.05,Jaskinia Goryckiego,5,49.249992,19.866219,77.03,0.0,0.001,0.31,,True,False,False
